,Feature_ID,Name,Description,Diameter,Center_Lon,Center_Lat,Type,USGS,Wikipedia
,2482,Hertzsprung,,536.37,-128.66,1.37,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/2482,https://www.wikipedia.org/wiki/Hertzsprung_(crater)
,326,Apollo,,524.23,-151.48,-35.69,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/326,https://en.wikipedia.org/wiki/Apollo_(crater)
,3090,Korolev,,423.41,-157.41,-4.19,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3090,https://www.wikipedia.org/wiki/Korolev_(crater)
,3472,Lorentz,,378.42,-97.19,34.59,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3472,https://www.wikipedia.org/wiki/Lorwww.z_(crater)
,4775,Poincaré,,345.99,163.99,-56.86,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/4775,https://www.wikipedia.org/wiki/Poincaré_(crater)
,2365,Harkhebi,,337.14,98.74,40.87,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/2365,https://www.wikipedia.org/wiki/Harkhebi_(crater)
,753,Birkhoff,,329.81,-145.65,58.45,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/753,https://www.wikipedia.org/wiki/Birkhoff_(crater)
,3837,Mendeleev,,325.13,141.17,5.38,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3837,https://www.wikipedia.org/wiki/Mwww.eleev_(crater)
,4749,Planck,,319.46,135.34,-57.27,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/4749,https://www.wikipedia.org/wiki/Planck_(crater)
,5381,Schrödinger,,316.39,132.93,-74.73,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/5381,https://www.wikipedia.org/wiki/Schrödinger_(crater)
,561,Bailly,,300.56,-68.9,-66.82,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/561,https://en.wikipedia.org/wiki/Bailly_(crater)
,2054,Gagarin,,261.83,149.35,-19.66,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/2054,https://www.wikipedia.org/wiki/Gagarin_(crater)
,3904,Milne,,259.97,112.78,-31,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3904,https://www.wikipedia.org/wiki/Milne_(crater)
,1940,Fermi,,241.41,123.24,-19.61,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/1940,https://www.wikipedia.org/wiki/Fermi_(crater)
,6305,Van de Graaff,,240.47,172.01,-27.04,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/6305,https://www.wikipedia.org/wiki/Van de Graaff_(crater)
,3335,Leibnitz,,236.67,179.35,-38.24,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3335,https://www.wikipedia.org/wiki/Leibnitz_(crater)
,1694,d'Alembert,,233.55,164.89,51.07,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/1694,https://www.wikipedia.org/wiki/d'Alembert_(crater)
,4604,Pasteur,,232.77,104.91,-11.58,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/4604,https://www.wikipedia.org/wiki/Pasteur_(crater)
,2081,Galois,,231.97,-152.99,-13.94,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/2081,https://www.wikipedia.org/wiki/Galois_(crater)
,1236,Clavius,,230.77,-14.73,-58.62,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/1236,https://www.wikipedia.org/wiki/Clavius_(crater)
,1502,Deslandres,,227.02,-5.57,-32.55,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/1502,https://www.wikipedia.org/wiki/Deslandres_(crater)
,990,Campbell,,222.48,152.91,45.57,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/990,https://www.wikipedia.org/wiki/Campbell_(crater)
